ID,Company.Name,Subsidiary.Name,Search,Share,Company.Type,Source,Notes,Country.of.Headquarters,Rystad.Upstream.Industry.Segment,Type.of.Subsidiary,Hydrocarbons.Production.in.2022..Oil..Gas..Condensate..NGL.,Production.Countries,Fracking,Tar.Sands,Coalbed.Methane,Extra.Heavy.Oil,Ultra.Deepwater,Arctic,Unconventional.Production,Resources.under.Development.and.Field.Evaluation.as.of.September.2023,Expansion.Countries,Unconventional.Expansion,X1.5�.C.Expansion.Overshoot.based.on.IEA.NZE..2021.2022.,Exploration.CAPEX.3.year.average..2021.2023.,Exploration.Countries,Fossil.Fuel.Share.of.Revenue,Data.Description,Reporting.Year,Project.Names,Project.Risks,Project.Descriptions,Remarks,GOGEL.ID,Upstream.Row.ID,RIC
169,Vermilion Energy Inc,Vermilion Energy Inc,Vermilion,1,Parent,,,Canada,Independent,,"33,8","Australia, Canada, France, Germany, Hungary, Ireland, Netherlands, USA","47,81%",0%,0%,"4,32%",0%,0%,"52,13%","126,5","Canada, Croatia, Netherlands, USA","91,05%","90,93%","35,82","Australia, Canada, Croatia, France, Germany, Hungary, Ireland, Netherlands, Slovakia, Ukraine, USA",100%,exact number,FY22,,,,,100168,668,VET.TO
170,MEG Energy Corp,MEG Energy Corp,MEG Energy,1,Parent,,,Canada,Independent,,"33,54",Canada,0%,100%,0%,0%,0%,0%,100%,"130,02",Canada,100%,100%,0,,"99,93%",exact lower bound,FY22,Alberta Tar Sands,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100183,,100183,365,MEG.TO
171,Kaiser-Francis Oil Company,Kaiser-Francis Oil Company,Kaiser-Francis,1,Parent,,Ownership data not available,USA,E&P Company,,"33,23",USA,100%,0%,0%,0%,0%,0%,100%,"47,85",USA,100%,"46,89%","57,75",USA,90%,estimated lower bound interval,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100418,,100418,320,4296059358
172,Paramount Resources Ltd,Paramount Resources Ltd,Paramount Resources,1,Parent,,,Canada,Independent,,"32,48",Canada,"90,31%",0%,0%,0%,0%,0%,"90,31%","215,26",Canada,100%,"77,68%","32,14",Canada,"98,47%",estimated lower bound,FY22,,,,,100204,440,POU.TO
173,Verdun Oil Company LLC,Verdun Oil Company LLC,Verdun,1,Parent,,Ownership data not available,USA,E&P Company,,"32,41",USA,"98,72%",0%,0%,0%,0%,0%,"98,72%","131,62",USA,100%,"80,69%","23,24",USA,90%,estimated lower bound interval,,,,,,100293,667,5063388051
174,Compania Espanola de Petroleos SA (Cepsa),Compania Espanola de Petroleos SA (Cepsa),Compania Espanola de Petroleos(CompaÃ±Ã­a EspaÃ±ola de PetrÃ³leos|Cepsa),1,Parent,,Ownership data not available,Spain,Integrated,,"32,37","Algeria, Colombia, Peru, Spain, UAE","3,41%",0%,0%,0%,0%,0%,"3,41%","19,05",Algeria,not applicable,100%,"15,6","Brazil, Colombia, Mexico, Suriname","98,85%",estimated lower bound,FY22,Amazon Oil and Gas Drilling,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100180,,100180,132,CEP.MC^H11
175,Romanian Government,SNGN Romgaz SA,Romgaz,0.7,Parent,,,Romania,NOC,,"32,35",Romania,0%,0%,0%,0%,0%,0%,0%,"291,03",Romania,not applicable,"99,65%","41,3","Romania, Slovakia","99,4%",exact lower bound,FY22,,,,,100187,573,SNG.BX
176,China ZhenHua Oil Co Ltd,China ZhenHua Oil Co Ltd,ZhenHua,1,Parent,,Chinese - to be checked,China,Independent,,"32,21","Egypt, Iraq, Kazakhstan, Myanmar, Syria, UAE",0%,0%,0%,0%,0%,0%,0%,"225,84","Iraq, UAE",not applicable,"93,58%","10,64","Egypt, Myanmar, Pakistan, UAE",90%,estimated lower bound interval,,Myanmar Military,"Conflict/Violence, Environmental Destruction, Social Harm",https://gogel.org/lookup/100173,,100173,114,5000026513
177,Korea National Oil Corporation (KNOC),Korea National Oil Corporation (KNOC),Korea National Oil Corporation(KNOC),1,Parent,,Not found,South Korea,INOC,,"31,95","Canada, Egypt, Kazakhstan, Libya, Peru, South Korea, UAE, USA, Venezuela, Vietnam","27,14%","9,13%","0,4%","1,67%",0%,0%,"38,34%","102,47","Canada, UAE, USA, Vietnam",24%,"90,54%","43,82","Canada, Kazakhstan, Libya, Netherlands, Senegal, South Korea, UAE, USA, Uzbekistan, Vietnam, Yemen","99,84%",estimated lower bound,FY22,"Alberta Tar Sands, Amazon Oil and Gas Drilling","Environmental Destruction, Social Harm",https://gogel.org/lookup/100139,,100139,333,5000023088
178,Origin Energy Ltd,Origin Energy Ltd,Origin,1,Parent,,,Australia,Independent,,"31,62",Australia,0%,0%,100%,0%,0%,0%,100%,"0,12",Australia,100%,100%,"23,52",Australia,"86,26%",exact lower bound,FY22-23,,,,,100145,427,ORG.AX
179,Dhi Qar Oil Company (DQOC),Dhi Qar Oil Company (DQOC),Dhi Qar(DQOC),1,Parent,,Iranian - to be checked,Iraq,NOC,,"31,53",Iraq,0%,0%,0%,0%,0%,0%,0%,"292,35",Iraq,not applicable,0%,"5,13",Iraq,NA,data unavailable,,,,,,100185,168,5077904406
180,JX Nippon Oil & Gas Exploration Corporation,JX Nippon Oil & Gas Exploration Corporation,Nippon Oil,1,Parent,,Ownership data not available,Japan,Integrated,,"31,28","Indonesia, Japan, Malaysia, Myanmar, Papua New Guinea, Qatar, UAE, United Kingdom, USA, Vietnam",0%,0%,0%,"1,39%",0%,0%,"1,39%","99,91","Indonesia, Papua New Guinea",not applicable,"18,11%","11,28","Australia, Brazil, Indonesia, Japan, Malaysia, Myanmar, Papua New Guinea, Qatar, United Kingdom, USA, Vietnam",90%,estimated lower bound interval,,Myanmar Military,"Conflict/Violence, Environmental Destruction, Social Harm",https://gogel.org/lookup/100152,,100152,319,5000012368
181,Cheiron Petroleum Corporation,Cheiron Petroleum Corporation,Cheiron,1,Parent,,Ownership data not available,Egypt,Independent,,"31,26","Egypt, Mexico","13,81%",0%,0%,"0,75%",0%,0%,"14,56%","42,08",Egypt,not applicable,100%,"23,19",Egypt,90%,estimated lower bound interval,,,,,,100746,103,5042940367
182,Baytex Energy Corp,Baytex Energy Corp,Baytex,1,Parent,,,Canada,Independent,,"30,35","Canada, USA","60,11%","2,12%","0,11%","25,67%",0%,0%,"88,01%","202,98","Canada, USA",100%,"72,08%","26,53","Canada, USA",100%,exact number,FY22,,,,,100189,42,BTE.TO
183,PJSC Gazprom Neft,PJSC Gazprom Neft,Gazprom Neft,1,Parent,,Russian - to be checked,Russia,Integrated,,"30,14","Iraq, Russia","0,15%",0%,0%,0%,0%,"51,47%","51,62%","16,43",Russia,"38,92%","99,98%","9,85","Russia, Venezuela","96,85%",exact lower bound,FY21,,,,,100198,481,SIBN.MM
184,Hunt Oil Company Inc,Hunt Oil Company Inc,Hunt Oil,1,Parent,,Ownership data not available,USA,Independent,,"29,78","Iraq, Peru, Romania, USA","12,8%",0%,0%,0%,0%,0%,"12,8%","20,05",USA,100%,"90,61%","4,01","Iraq, Peru, Romania, USA",90%,estimated lower bound interval,,Amazon Oil and Gas Drilling,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100144,,100144,281,5001311821
185,Kosmos Energy Ltd,Kosmos Energy Ltd,Kosmos,1,Parent,,,USA,Independent,,"29,18","Equatorial Guinea, Ghana, USA",0%,0%,0%,0%,"12,08%",0%,"12,08%","261,58","Ghana, Mauritania, USA","93,43%","15,01%","84,77","Equatorial Guinea, Mauritania, Senegal, USA","99,83%",exact lower bound,FY22,Greater Tortue Ahmeyim,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100200,,100200,334,KOS.N
186,Tokyo Gas Co Ltd,Tokyo Gas Co Ltd,Tokyo Gas,1,Parent,,,Japan,Industrial,,"28,91","Australia, Timor-Leste, USA","73,95%",0%,"3,02%",0%,"1,77%",0%,"78,74%","233,61","Australia, USA","96,26%","84,1%","5,82","Australia, Timor-Leste, USA","86,93%",estimated lower bound,FY21-22,"Scarborough Gas, Verde Island Passage","Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100207,,100207,630,9531.T
187,NEO Energy Group Ltd,NEO Energy Group Ltd,NEO Energy,1,Parent,,Ownership data not available,United Kingdom,Investor,,"28,67",United Kingdom,0%,0%,0%,"4,71%",0%,0%,"4,71%","88,41",United Kingdom,not applicable,"35,39%","19,83",United Kingdom,90%,estimated lower bound interval,FY21,,,,,100757,392,5046392829
188,Paloma Resources LLC,Paloma Resources LLC,Paloma Resources,1,Parent,,Ownership data not available,USA,E&P Company,,"28,44",USA,100%,0%,0%,0%,0%,0%,100%,"191,05",USA,100%,"68,23%","33,58",USA,NA,data unavailable,,,,,,100409,434,PLOh.V
189,Reliance Industries Ltd,Reliance Industries Ltd,Reliance,1,Parent,,Indian - to be checked,India,Integrated,,"28,32",India,0%,0%,"5,58%",0%,"64,05%",0%,"69,63%","160,49",India,"62,31%","37,69%","10,19","India, USA","49,53%",exact lower bound,FY22-23,,,,,100244,517,RELI.NS
190,Blackbeard Operating LLC,Blackbeard Operating LLC,Blackbeard,1,Parent,,Ownership data not available,USA,Independent,,"28,31",USA,"91,71%",0%,0%,0%,0%,0%,"91,71%","67,77",USA,100%,"70,18%","24,04",USA,90%,estimated lower bound interval,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100174,,100174,58,5057566921
191,Birchcliff Energy Ltd,Birchcliff Energy Ltd,Birchcliff,1,Parent,,,Canada,Independent,,"28,14",Canada,"98,47%",0%,0%,0%,0%,0%,"98,47%","115,77",Canada,100%,"77,75%","10,84",Canada,"98,62%",estimated lower bound,FY22,,,,,100196,54,BIR.TO
192,Northeast Natural Energy LLC,Northeast Natural Energy LLC,Northeast Natural Energy,1,Parent,,Ownership data not available,USA,E&P Company,,"27,81",USA,100%,0%,0%,0%,0%,0%,100%,"157,38",USA,100%,"39,98%","14,79",USA,90%,estimated lower bound interval,,,,,,100236,406,5037933599
193,Spartan Delta Corp,Spartan Delta Corp,Spartan Delta,1,Parent,,,Canada,E&P Company,,"26,83",Canada,"98,64%",0%,0%,0%,0%,0%,"98,64%","55,76",Canada,100%,"86,51%","21,8",Canada,"99,65%",estimated lower bound,FY22,,,,,100433,586,SDE.TO
194,Jonah Energy LLC,Jonah Energy LLC,Jonah Energy,1,Parent,,Ownership data not available,USA,Independent,,"26,45",USA,"99,95%",0%,0%,0%,0%,0%,"99,95%",0,,0%,not applicable,"4,75",USA,90%,estimated lower bound interval,,,,,,100268,311,5042271234
195,Delek Group Ltd,Ithaca Energy plc,Ithaca Energy,1,Parent,,,United Kingdom,E&P Company,Subsidiary,"26,14",United Kingdom,0%,0%,0%,"1,53%",0%,0%,"1,53%","158,32",United Kingdom,"72,76%","89,89%","16,78",United Kingdom,"98,44%",exact lower bound,FY22,,,,,100960,163,ITH.L
196,Vitol Holding II SA,Vitol Holding II SA,Vitol,1,Parent,,Ownership data not available,Luxembourg,Industrial,,26,"Azerbaijan, Ghana, Kazakhstan, Russia, USA",50%,0%,0%,0%,0%,"15,75%","65,75%","210,66","Ghana, USA","83,88%","84,9%","37,62","Azerbaijan, Ghana, Russia, USA",90%,estimated lower bound interval,,,,,,200246,677,5040257799
197,Talos Energy Inc,Talos Energy Inc,Talos Energy,1,Parent,,,USA,Independent,,26,USA,0%,0%,0%,0%,"8,63%",0%,"8,63%","76,44","Mexico, USA",not applicable,100%,"161,53","Mexico, USA",100%,exact number,FY22,,,,,100232,607,TALO.K
198,Pampa Energia SA,Pampa Energia SA,Pampa,1,Parent,,,Argentina,Industrial,,"25,46","Argentina, Venezuela","85,59%",0%,0%,0%,0%,0%,"85,59%","81,83",Argentina,100%,"86,69%","42,24","Argentina, Venezuela","94,56%",estimated lower bound,FY22,Vaca Muerta,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100250,,100250,435,PAMPm.BA
199,QuarterNorth Energy LLC,QuarterNorth Energy LLC,QuarterNorth,1,Parent,,Ownership data not available,USA,Independent,,"25,35","Mexico, USA",0%,0%,0%,0%,"24,03%",0%,"24,03%",0,,0%,not applicable,"21,67",USA,90%,estimated lower bound interval,,,,,,100666,508,5083992137
200,Japan Organization for Metals and Energy Security (JOGMEC),Japan Organization for Metals and Energy Security (JOGMEC),Japan Organization for Metals and Energy Security(JOGMEC),1,Parent,,Ownership data not available,Japan,INOC,,"25,32","Australia, Indonesia, Iraq, Papua New Guinea, Russia",0%,0%,0%,0%,0%,0%,0%,"857,18","Indonesia, Iraq, Russia","59,97%","20,98%","3,34","Australia, Indonesia, Russia, Venezuela",/,not applicable,FY21-22,"Cabo Delgado, Yamal LNG and Arctic LNG 2","Conflict/Violence, Environmental Destruction, Social Harm",https://gogel.org/lookup/100179,,100179,304,5000056747
201,Government of India,Indian Oil Corporation Ltd,Indian Oil Corp,0.52,Parent,,,India,INOC,,"25,3","Canada, India, Oman, Russia, UAE, USA, Venezuela","18,08%",0%,"1,51%","23,4%",0%,"24,41%","67,4%","197,31","Canada, India, Russia, UAE, USA, Venezuela","35,38%","92,44%","22,39","Canada, Gabon, India, Israel, Libya, Mozambique, Russia, UAE, USA, Venezuela","98,22%",estimated lower bound,FY22-23,,,,,100212,287,IOC.NS
202,NuVista Energy Ltd,NuVista Energy Ltd,NuVista,1,Parent,,,Canada,Independent,,"25,08",Canada,"99,36%",0%,0%,0%,0%,0%,"99,36%","175,28",Canada,100%,"76,84%","16,44",Canada,100%,exact number,FY22,,,,,100241,410,NVA.TO
203,Tullow Oil plc,Tullow Oil plc,Tullow,1,Parent,,,United Kingdom,Independent,,"24,87","Cote d'Ivoire, Gabon, Ghana",0%,0%,0%,0%,0%,0%,0%,"17,46",Ghana,not applicable,0%,"41,04","Argentina, Comoros, Cote d'Ivoire, Gabon, Guyana, Kenya, Namibia, Peru, Suriname, United Kingdom",100%,exact number,FY22,Guyana Offshore,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100190,,100190,644,TLW.L
204,Petroleum Sarawak Bhd (PETROS),Petroleum Sarawak Bhd (PETROS),Petroleum Sarawak(PETROS),1,Parent,,Ownership data not available,Malaysia,Exploration Company,,"24,83",Malaysia,0%,0%,0%,0%,0%,0%,0%,0,,0%,not applicable,"7,24",Malaysia,90%,estimated lower bound interval,,,,,,100924,463,5080028101
205,Ensign Natural Resources LLC,Ensign Natural Resources LLC,Ensign,1,Parent,,Ownership data not available,USA,E&P Company,,"24,78",USA,"98,55%",0%,0%,0%,0%,0%,"98,55%",0,,0%,not applicable,"0,12",USA,90%,estimated lower bound interval,,,,,,100338,210,5064696209
206,Spirit Energy Ltd,Spirit Energy Ltd,Spirit Energy,1,Parent,,,United Kingdom,Independent,,"23,67","Netherlands, Norway, United Kingdom",0%,0%,0%,0%,0%,"2,44%","2,44%",0,,0%,not applicable,"25,78","Netherlands, Norway, United Kingdom","98,93%",exact lower bound,FY22,,,,,100132,587,5059340225
207,Government of Dubai,Dubai Petroleum Establishment,Dubai Petroleum Establishment,1,Parent,,100% Holding,UAE,NOC,,"23,42",UAE,0%,0%,0%,0%,0%,0%,0%,0,,0%,not applicable,0,,90%,estimated lower bound interval,,,,,,100134,180,5001008459
208,Surge Energy US Holdings Company,Surge Energy US Holdings Company,Surge Energy,1,Parent,,Ownership data not available,USA,Independent,,"23,09",USA,"99,89%",0%,0%,0%,0%,0%,"99,89%","101,17",USA,100%,"81,2%","27,53",USA,90%,estimated lower bound interval,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100754,,100754,604,5060521609
209,Empresa Nacional del Petroleo (ENAP),Empresa Nacional del Petroleo (ENAP),Empresa Nacional del Petroleo(ENAP),1,Parent,,Ownership data not available,Chile,INOC,,"23,04","Argentina, Chile, Ecuador, Egypt",0%,0%,0%,0%,0%,0%,0%,"5,79",Chile,not applicable,100%,"4,02","Argentina, Chile, Ecuador, Egypt","99,21%",exact number,FY22,Amazon Oil and Gas Drilling,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100192,,100192,193,4295863497
210,Petro-Hunt LLC,Petro-Hunt LLC,Petro-Hunt,1,Parent,,Ownership data not available,USA,Independent,,"22,96",USA,"97,77%",0%,0%,0%,0%,0%,"97,77%","136,72",USA,100%,"71,31%","15,31",USA,NA,data unavailable,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100243,,100243,455,5000293374
211,Grayson Mill Energy LLC,Grayson Mill Energy LLC,Grayson Mill,1,Parent,,Ownership data not available,USA,Exploration Company,,"22,86",USA,100%,0%,0%,0%,0%,0%,100%,"219,42",USA,100%,"74,61%","10,77",USA,90%,estimated lower bound interval,,,,,,100759,248,5079892406
212,Slawson Exploration Company Inc,Slawson Exploration Company Inc,Slawson,1,Parent,,Ownership data not available,USA,E&P Company,,"22,55",USA,"99,85%",0%,0%,0%,0%,0%,"99,85%","43,69",USA,100%,"71,6%","4,26",USA,NA,data unavailable,,,,,,100342,571,4298013077
213,Camino Natural Resources LLC,Camino Natural Resources LLC,Camino Natural,1,Parent,,Ownership data not available,USA,Independent,,"22,54",USA,100%,0%,0%,0%,0%,0%,100%,"98,06",USA,100%,"86,14%","23,12",USA,90%,estimated lower bound interval,,,,,,100201,82,5059079874
214,Lime Rock Resources,Lime Rock Resources,Lime Rock,1,Parent,,Ownership data not available,USA,E&P Company,,"22,25",USA,"95,21%",0%,0%,0%,0%,0%,"95,21%","96,68",USA,100%,"77,17%","5,29",USA,90%,estimated lower bound interval,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100260,,100260,345,5000879968
215,Dana Gas PJSC,Dana Gas PJSC,Dana Gas,1,Parent,,,UAE,E&P Company,,"22,05","Egypt, Iraq",0%,0%,0%,0%,0%,0%,0%,"359,31","Egypt, Iraq",not applicable,"16,48%","7,37","Egypt, Iraq",100%,exact number,FY22,,,,,100222,157,DANA.AD
216,SilverBow Resources Inc,SilverBow Resources Inc,SilverBow,1,Parent,,,USA,E&P Company,,"21,74",USA,100%,0%,0%,0%,0%,0%,100%,"119,34",USA,100%,"82,35%","2,02",USA,100%,exact number,FY22,,,,,100270,564,SBOW.K
217,OMV AG,OMV Petrom SA,OMV,1,Parent,,,Romania,NOC,Subsidiary,"21,48",Romania,0%,0%,0%,"15,11%",0%,0%,"15,11%","167,99",Romania,"3,17%",100%,"17,97","Bulgaria, Georgia, Romania","89,08%",exact lower bound,FY22,,,,,100202,423,ROSNP.BX
218,Compania General de Combustibles SA (CGC),Compania General de Combustibles SA (CGC),Compania General de Combustibles(CGC),1,Parent,,Ownership data not available,Argentina,Industrial,,"21,36","Argentina, Venezuela","11,09%",0%,0%,0%,0%,0%,"11,09%",0,,0%,not applicable,"20,62",Argentina,"95,43%",exact lower bound,FY22,Vaca Muerta,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100295,,100295,133,5001093857
219,Bridas Energy Holdings Ltd,Bridas Energy Holdings Ltd,Bridas,1,Parent,,Ownership data not available,Argentina,Industrial,,"21,19","Argentina, Bolivia, Mexico","16,82%",0%,0%,0%,0%,0%,"16,82%","57,67","Argentina, Mexico","73,54%","96,03%","26,54","Argentina, Bolivia, Mexico",NA,data unavailable,,Vaca Muerta,"Environmental Destruction, Litigation, Social Harm",https://gogel.org/lookup/100221,,100221,68,5001222177
220,Scout Energy Partners,Scout Energy Partners,Scout Energy Partners,1,Parent,,Not found,USA,Independent,,"21,19",USA,"12,59%",0%,0%,0%,0%,0%,"12,59%","0,5",USA,100%,0%,0,,90%,estimated lower bound interval,,,,,,100227,550,5043912882
221,Denbury Inc,Denbury Inc,Denbury,1,Parent,,Ownership data not available,USA,Independent,,"21,18",USA,0%,0%,0%,0%,0%,0%,0%,"228,18",USA,not applicable,100%,0,,"96,45%",exact lower bound,FY22,,,,,100216,165,HGJ1f.TPRM
222,Pacific Energy Corporation Ltd,Pacific Energy Corporation Ltd,Pacific Energy Corporation,1,Parent,,Ownership data not available,China (Hong Kong),Integrated,,"20,9",Canada,"98,88%",0%,0%,0%,0%,0%,"98,88%","211,14",Canada,100%,"56,08%","56,03","Canada, Indonesia",90%,estimated lower bound interval,,Woodfibre LNG,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100288,,100288,431,5073353243
223,Maverick Natural Resources LLC,Maverick Natural Resources LLC,Maverick,1,Parent,,Ownership data not available,USA,Independent,,"20,76",USA,"63,8%",0%,0%,"0,02%",0%,0%,"63,82%","24,75",USA,100%,"22,95%","0,75",USA,90%,estimated lower bound interval,,,,,,100327,364,5063387214
224,LLOG Exploration Company LLC,LLOG Exploration Company LLC,LLOG,1,Parent,,Ownership data not available,USA,E&P Company,,"20,67",USA,"3,69%",0%,0%,0%,"19,7%",0%,"23,39%","59,5",USA,100%,100%,"7,53",USA,90%,estimated lower bound interval,,,,,,100336,346,5081467695
225,Myanma Oil and Gas Enterprise (MOGE),Myanma Oil and Gas Enterprise (MOGE),Myanma Oil and Gas Enterpris (MOGE),1,Parent,,Ownership data not available,Myanmar,NOC,,"20,58",Myanmar,0%,0%,0%,0%,0%,0%,0%,"33,27",Myanmar,not applicable,"63,21%","4,35",Myanmar,NA,data unavailable,,Myanmar Military,"Conflict/Violence, Environmental Destruction, Social Harm",https://gogel.org/lookup/100237,,100237,382,4296761485
226,Posco Holdings Inc,Posco International Corporation,Posco,0.71,Parent,,,South Korea,E&P Company,,"20,48","Australia, Myanmar, Peru, South Korea, Vietnam",0%,0%,"6,09%",0%,0%,0%,"6,09%","112,5","Australia, Myanmar","22,94%","62,99%","1,28","Australia, Indonesia, Malaysia, Myanmar, Vietnam","3,25%",estimated lower bound,FY22,"Myanmar Military, Amazon Oil and Gas Drilling","Conflict/Violence, Environmental Destruction, Social Harm",https://gogel.org/lookup/100229,,100229,495,5083180851
227,Advantage Energy Ltd,Advantage Energy Ltd,Advantage Energy,1,Parent,,,Canada,E&P Company,,"20,35",Canada,100%,0%,0%,0%,0%,0%,100%,"155,23",Canada,100%,"83,94%","14,08",Canada,"99,96%",exact number,FY22,,,,,100256,8,AAV.TO
228,Beach Energy Ltd,Beach Energy Ltd,Beach Energy,1,Parent,,,Australia,Independent,,"20,27","Australia, New Zealand","0,15%",0%,0%,0%,0%,0%,"0,15%","155,16",Australia,"32,26%","80,64%","84,26","Australia, New Zealand","98,2%",exact lower bound,FY22,,,,,100199,44,BPT.AX
229,Bonavista Energy Corporation,Bonavista Energy Corporation,Bonavista,1,Parent,,Ownership data not available,Canada,Independent,,"20,12",Canada,"69,34%",0%,0%,0%,0%,0%,"69,34%","64,33",Canada,100%,"88,16%","9,93",Canada,90%,estimated lower bound interval,,,,,,100205,64,BNP.TO^H20
230,Tap Rock Resources LLC,Tap Rock Resources LLC,Tap Rock,1,Parent,,Ownership data not available,USA,E&P Company,,"19,98",USA,100%,0%,0%,0%,0%,0%,100%,"0,48",USA,100%,"20,05%","85,65",USA,90%,estimated lower bound interval,,Permian Basin,"Environmental Destruction, Social Harm",https://gogel.org/lookup/100332,,100332,611,5060206566
231,Ranger Oil Corporation,Ranger Oil Corporation,Ranger Oil,1,Parent,,Ownership data not available,USA,E&P Company,,"19,88",USA,"99,65%",0%,0%,0%,0%,0%,"99,65%",0,,0%,not applicable,"4,22",USA,"99,97%",exact number,FY22,,,,,100303,511,4295904699
